,CCMP,SPX,Dax
2013-01-31,0.5764157528285339,0.0,0.42358424717146614
2013-02-28,0.30652979651053114,0.2728930278889474,0.4205771756005215
2013-03-31,0.03678175996713136,0.5608485630245136,0.40236967700835513
2013-04-30,0.0,0.6077191380300504,0.3922808619699497
2013-05-31,0.09717069635256621,0.5228696147475387,0.3799596888998951
2013-06-30,0.2581610892959452,0.40682700454698656,0.33501190615706816
2013-07-31,0.5706685726533961,0.09720394025948023,0.33212748708712386
2013-08-31,0.6435358946912293,0.0,0.35646410530877065
2013-09-30,0.64464601999598,0.0,0.3553539800040199
2013-10-31,0.6430543954955696,0.014833338160139329,0.34211226634429115
2013-11-30,0.6241898505236939,0.039368342015062834,0.3364418074612432
2013-12-31,0.6688346111562739,0.0,0.3311653888437262
2014-01-31,0.6213625196258555,9.389190813724468e-17,0.3786374803741444
2014-02-28,0.6724017632193091,8.527250086598492e-17,0.32759823678069083
2014-03-31,0.6286344948404355,3.995285005609084e-17,0.3713655051595645
2014-04-30,0.3210803966209277,0.2987200176490931,0.38019958572997914
2014-05-31,0.4925806256870074,0.14634495463135555,0.36107441968163706
2014-06-30,0.6495448677199165,1.734723475976807e-18,0.3504551322800835
2014-07-31,0.6448138814722739,0.0,0.3551861185277262
2014-08-31,0.49601090799861086,0.14391557545842798,0.36007351654296105
2014-09-30,0.2648136771970651,0.3628566253029944,0.3723296974999406
2014-10-31,0.4082546924959675,0.24969556271299784,0.3420497447910346
2014-11-30,0.39768903840078285,0.2744414174306716,0.3278695441685455
2014-12-31,0.5101521632822557,0.10791988605752259,0.3819279506602218
2015-01-31,0.4597608522463371,0.16252557400945417,0.3777135737442088
2015-02-28,0.4629550379075487,0.15958959575274698,0.37745536633970433
2015-03-31,0.4362686484054678,0.1362004719960377,0.42753087959849456
2015-04-30,0.4969447233274869,0.031442687159540905,0.47161258951297214
2015-05-31,0.5969015074264546,2.7755575615628914e-17,0.40309849257354546
2015-06-30,0.5975576114930659,0.0,0.4024423885069343
2015-07-31,0.6095810683538316,0.0,0.3904189316461685
2015-08-31,0.5791231082279751,0.0,0.4208768917720249
2015-09-30,0.6261340459867812,1.9293377659379551e-16,0.3738659540132185
2015-10-31,0.6977963511923551,8.05020113070487e-18,0.3022036488076449
2015-11-30,0.6559266445267343,2.233998576406382e-16,0.34407335547326556
2015-12-31,0.6877084349778436,0.0,0.3122915650221566
2016-01-31,0.6831227154221642,7.784571598445922e-17,0.3168772845778357
2016-02-29,0.7376005228029464,1.214306433183765e-17,0.26239947719705364
2016-03-31,0.7229135259148649,2.6346112791397758e-17,0.277086474085135
2016-04-30,0.7074163418642575,4.423544863740858e-17,0.29258365813574255
2016-05-31,0.7146235207843111,0.0,0.28537647921568904
2016-06-30,0.7114343212091419,0.0,0.2885656787908581
2016-07-31,0.7327474542968905,9.465084965798454e-17,0.26725254570310947
2016-08-31,0.6853993849851928,0.0,0.31460061501480735
2016-09-30,0.6606162730187529,1.0885389811754465e-16,0.3393837269812471
2016-10-31,0.6695171550757159,0.0,0.33048284492428426
2016-11-30,0.7123298479883583,1.911990531178187e-16,0.2876701520116415
2016-12-31,0.6715129163231935,3.5128150388530344e-17,0.32848708367680646
2017-01-31,0.6912525362014836,6.928051882182373e-17,0.30874746379851636
2017-02-28,0.6647765433335715,0.0,0.3352234566664285
2017-03-31,0.6785209168864279,9.400032835449323e-17,0.321479083113572
2017-04-30,0.6961345358650431,0.0,0.3038654641349569
2017-05-31,0.689019069802586,0.0,0.3109809301974147
2017-06-30,0.6772152505405461,8.326672684688674e-17,0.32278474945945396
2017-07-31,0.6824659264664928,0.0,0.31753407353350727
2017-08-31,0.6504245299915854,0.0,0.3495754700084148
2017-09-30,0.7075490536878137,2.878556767949014e-17,0.29245094631218627
2017-10-31,0.6326398516334825,4.2175464509686122e-16,0.3673601483665173
2017-11-30,0.6173675287302202,1.214306433183765e-16,0.3826324712697798
2017-12-31,0.6683570825506356,0.0,0.3316429174493644
2018-01-31,0.7180219243649173,0.0,0.2819780756350826
2018-02-28,0.6870599778334744,0.0,0.3129400221665258
2018-03-31,0.8128546781690683,2.4248181587638307e-16,0.18714532183093138
2018-04-30,0.9257635276092046,0.0,0.07423647239079545
2018-05-31,0.7702159133152618,0.0,0.22978408668473826
2018-06-30,0.7727661469989942,0.0,0.22723385300100601
2018-07-31,0.8174646470055931,4.9873299934333204e-18,0.18253535299440696
2018-08-31,0.7852566452816059,0.0,0.21474335471839423
2018-09-30,0.7630497456239238,0.0,0.23695025437607628
2018-10-31,0.6648199225851567,9.540979117872439e-18,0.3351800774148433
2018-11-30,0.6933359826431501,0.13560145092240344,0.17106256643444653
2018-12-31,0.7439626736945677,2.4123498337802474e-17,0.25603732630543236
2019-01-31,0.8337009085530418,5.421010862427522e-17,0.16629909144695823
2019-02-28,0.7056898395035481,0.0,0.294310160496452
2019-03-31,0.6924090985086458,0.0,0.3075909014913543
2019-04-30,0.7165654656897322,0.0,0.283434534310268
2019-05-31,0.6145912283093028,0.0,0.3854087716906973
2019-06-30,0.7328175628830942,0.0,0.26718243711690604
2019-07-31,0.5530005327900827,6.0173220572945496e-18,0.44699946720991746
2019-08-31,0.673775416153664,1.9949319973733282e-17,0.32622458384633596
2019-09-30,0.5801348087584147,0.17533052571933694,0.24453466552224834
2019-10-31,0.637864254001946,0.003240121301290746,0.35889562469676317
2019-11-30,0.6019703271456991,0.0,0.39802967285430085
2019-12-31,0.6184138770737659,8.131516293641283e-18,0.38158612292623406
2020-01-31,0.6798901584370003,6.7220534694101275e-18,0.32010984156299976
2020-02-29,0.6110158982633541,1.117812439832555e-16,0.3889841017366458
2020-03-31,0.8145973958297157,0.0,0.18540260417028828
2020-04-30,1.0,0.0,4.163336342344337e-17
2020-05-31,0.9999999999999998,0.0,1.734723475976807e-16
2020-06-30,0.9253268746413335,0.0,0.07467312535866727
2020-07-31,0.8144824721786277,0.0,0.18551752782137523
2020-08-31,0.8212756455424496,7.266322959997851e-16,0.17872435445754972
2020-09-30,0.7310213397363121,1.1386291215442768e-15,0.2689786602636868
2020-10-31,0.8165656464051411,7.173081573164097e-16,0.1834343535948582
2020-11-30,1.0,0.0,4.371503159461554e-16
